"","month","srv_addr","date_post","admin","chat","info","economy","plugin_count","rulesum"
"353",8,"31.214.232.137",2015-06-17,2,0,0,0,3,30187
"354",8,"217.79.188.210",2015-06-17,3,0,2,5,14,30187
"355",8,"85.131.166.100",2015-06-17,0,1,0,3,4,30187
"356",8,"play.minekvak.com",2015-06-03,10,1,4,3,25,30187
"357",8,"31.214.130.224",2015-06-17,2,0,1,0,4,30187
"358",8,"5.62.117.31",2015-06-17,7,2,5,6,22,30187
"359",8,"217.198.131.114",2015-06-17,7,0,3,5,20,30187
"360",8,"108.170.58.235",2015-06-17,5,2,1,4,13,30187
"361",8,"134.255.208.198",2015-06-03,6,0,3,9,23,30187
"362",8,"193.111.138.163",2015-06-17,5,1,5,4,15,30187
"363",8,"78.143.36.230",2015-06-17,13,0,5,3,26,30187
"364",8,"91.121.113.98",2015-06-17,6,2,3,5,27,30187
"365",8,"78.143.36.137",2015-06-17,2,0,1,0,6,30187
"366",8,"cookiefaction.crystal-serv.com:29695",2015-06-03,14,7,8,9,42,30187
"367",8,"185.9.106.141",2015-06-17,4,2,2,4,17,30187
"368",8,"50.132.10.233",2015-06-17,3,0,3,8,16,30187
"369",8,"167.114.101.146:25729",2015-06-03,4,2,4,5,16,30187
"370",8,"192.210.218.252",2015-06-03,12,2,6,11,37,30187
"371",8,"play.pokecrazed.org",2015-06-03,10,1,9,12,39,30187
"372",8,"mexicankingdom.mcph.co",2015-06-03,11,4,5,12,46,30187
"373",8,"protoncraft.beastmc.com",2015-06-03,7,1,4,8,24,30187
"374",8,"216.246.49.147:25600",2015-06-03,2,3,3,8,15,30187
"375",8,"78.143.36.150",2015-06-17,0,1,3,0,4,30187
"376",8,"meincraftserver.nitrado.net",2015-06-03,5,3,5,7,24,30187
"377",8,"mcsocial.minecraft.to",2015-06-03,2,0,1,0,7,30187
"378",8,"217.114.199.102",2015-06-17,3,2,2,1,10,30187
"379",8,"94.23.210.195",2015-06-03,6,6,4,11,34,30187
"380",8,"217.198.141.158",2015-06-17,12,1,9,5,33,30187
"381",8,"78.143.21.182",2015-06-17,2,0,1,2,9,30187
"382",8,"104.254.233.34",2015-06-03,13,1,6,7,32,30187
"383",8,"5.62.118.148",2015-06-17,1,0,1,0,2,30187
"384",8,"play.savagerealms.org",2015-06-03,5,0,2,11,22,30187
"385",8,"37.10.123.213",2015-06-17,5,1,2,0,10,30187
"386",8,"85.190.148.109",2015-06-17,1,0,2,0,6,30187
